business_id,name,address,city,state,postal_code,postal_code,latitude,longitude,stars,review_count
QjV4v7q_pt7tt3K1US7IHg,PDQ Temple Terrace,5112 E Fowler Ave,Tampa,FL,33617,33617,28.0548882706,-82.3995484,3.0,5
LGqiubTmpJ-A1L5n7dmc6g,Domino's Pizza,"1525 Lapalco Blvd, # A",Harvey,FL,70058,70058,29.8753202,-90.045817,1.5,14
59jkCUm4yHciKL1KW_1HJA,Roma Pizza & Italian Eatery,1103 Main St,Warrington,FL,18976,18976,40.2295269733,-75.1310898382,2.5,25
vPcfJ3rm3NpdqVDod2WxLA,China Pearl,2E Summit Sq Shopping Ctr,Langhorne,FL,19047,19047,40.2177843,-74.9265858,1.5,27
8c0r7olQSYGcws0bTd3ikw,Zesty Tsunami,6614 Osteen Rd,New Port Richey,CA,34653,34653,28.2502179787,-82.6824409515,4.0,5
uDQgmudYDKiB6n4vwbEeDg,Chrysalis,9040 Carothers Pkwy,Franklin,FL,37067,37067,35.9565328581,-86.8027199385,4.5,112
Edg22x3CZkIv0GUib2oEFA,Mellow Mushroom,8227 Oak St,New Orleans,FL,70118,70118,29.9486236188,-90.1312502816,3.5,149
jL_NufxqXi-BpW5uXKsPwQ,CVS Pharmacy,518 Port Royal Ave,Philadelphia,FL,19128,19128,40.0612774187,-75.2372046062,3.0,11
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,2609 Edgemont St,Philadelphia,FL,19125,19125,39.9768798,-75.1161695,4.5,12
jcL_qaGJiappzpnn-ifSoA,Fat Jakks,10126 - 107 Avenue NW,Edmonton,FL,T5H 0V6,T5H 0V6,53.5515508,-113.4951554,4.0,8
W57cR9a7XP6RX56MSWHJJA,Las Margaritas,514 S Rampart St,New Orleans,FL,70163,70163,29.95029,-90.074887,3.5,58
xa6JYHDgVza7CuenKBJBHw,Taqueria El Sitio,3466 A Lebanon Pike,Hermitage,FL,37076,37076,36.191654,-86.6254189,4.5,8
-7GDqSUaXrpC8Ql7nDBxWA,B2 Bluefin,401 E City Ave,Bala Cynwyd,FL,19004,19004,40.0079839104,-75.2126064939,4.0,92
XwoXi0M66RU6Gouq-DSDHw,G Peppers Grill & Tavern,8745 Gunn Hwy,Odessa,FL,33556,33556,28.0921362,-82.5785736,4.0,82
OfW-VK04qr7b7bPm5QbyLg,Taqueria Feliz,303 Horsham Rd,Horsham,FL,19044,19044,40.1807271,-75.1346993,3.0,77
8YJtf5v76SIz-4udyF4YmA,The Hideout Coffee House,218 Oakfield Dr,Brandon,FL,33511,33511,27.9344684803,-82.2878021747,4.5,22
JfGfqCnk0-Tnf6PlahPUJQ,Burger Village,6187 Currents Drive NW,Edmonton,FL,T6W 0L9,T6W 0L9,53.436403,-113.604288,4.0,10
GVqXNt0HKJLpciN9ePxnWw,Crown Fried Chicken,1128 S Broad St,Philadelphia,FL,19146,19146,39.9368911,-75.1672837,2.5,16
j-PaHu9iyJBlzKJZYN2smA,Snacks By The Pound,"107A East Glenside Ave, Ste 1a",Glenside,FL,19038,19038,40.1001131,-75.1515328,3.5,8
iBRXLFWD7PeSYDbKsd_JTw,Mai Thai Restaurant,875 E Bloomingdale Ave,Brandon,FL,33511,33511,27.8915738378,-82.2725105,4.5,27
od6skmfXz9twktEAuJHEmw,Ryan Christopher,245 Woodbine Ave,Narberth,FL,19072,19072,40.0099504,-75.2591858,4.0,120
sUQ-OfJYSNfz-cimEjoaXQ,Soho Oasis Cafe,410 S Howard Ave,Tampa,FL,33606,33606,27.9402059,-82.4828837,3.5,7
z9wCTHYI2VZy9YIblwSsgg,The Silo Eatery Coffee Bakery,"9036 Brittany Way, Bldg 18",Tampa,FL,33619,33619,27.9464963776,-82.3555628732,4.0,5
cl5NjtALgaX7E-WL2DtiYQ,Liberty City Roasters,222R US Hwy 13,Bristol,FL,19007,19007,40.100524,-74.865196,4.5,8
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,6600 N 5th St,Philadelphia,CA,19126,19126,40.0520643,-75.1273939,4.5,351
TO5-F6Rgt-_sYvRT9Cta-w,Apple Barn Cider Bar and General Store,109 Opry Mills Dr,Nashville,FL,37214,37214,36.203404,-86.694768,4.0,5
fNssGWMjae-SUzyyGblspQ,Apron,47 E Kings Hwy,Haddonfield,FL,08033,08033,39.8971069811,-75.0342256956,4.5,24
9RoAU2wAlH63Non9qrx3xQ,Gary's World of Wellness,4 W Mount Kirk Ave,Norristown,FL,19403,19403,40.154956,-75.4013789,4.0,13
bPPy7yNFfb-6N_bHkn1qAw,Taste of the Caribbean,,Indianapolis,FL,46201,46201,39.7733919,-86.0860599,3.0,17
_WRe3ql2DI_h3htr77Siew,The Office,248 W 1st St,Reno,FL,89501,89501,39.524816,-119.8160819,5.0,7
D7z_V6E8cxXghSRcHAmUPg,La Bella China Restaurant,5680 S 12th Ave,Tucson,FL,85706,85706,32.149473,-110.9781864,4.0,92
JPm93BlP-UHYPqFgK66JUw,Local Links,533 Station Ave,Haddon Heights,FL,08035,08035,39.8826936,-75.0583844,4.5,70
pJB63RaQpkTIKBhfTsLQQg,Biryani Hut,"14350 Mundy Dr, Ste  700",Noblesville,FL,46060,46060,39.9970877,-86.0023117,4.0,83
SlLfWzeYOrVBxCd-0QILZQ,The Boiling House,"1990 Marlton Pike E, Ste 10",Cherry Hill,FL,08003,08003,39.8996609,-74.9532997,4.0,238
ZpmSEd9N042IJanBiKlKiQ,Smoke & Thyme,701 W Fulton St,Boise,FL,83702,83702,43.6111922,-116.2062753,4.0,19
42OM20QndpmsOSY6ccudBA,Union Teller Delicatessen,401 Union St,Nashville,FL,37219,37219,36.1648001,-86.7799287,3.5,6
0sr1EyOc6Td1C-962QW88w,La Cucina Italian Eatery,1642 Butler Pike,Conshohocken,FL,19428,19428,40.088398,-75.2926963,4.0,44
frsWe9bmMOMIBOBNzsCTew,African Palace Bar And Grill,4005 7 Hills Dr,Florissant,FL,63033,63033,38.7790065,-90.2800209,4.0,26
-H6s1c2NRic5UKxXqi4FdQ,Bagelicious and More,1232 Kingsway Rd,Brandon,FL,33510,33510,27.9588017985,-82.2789713027,3.5,7
xwSWtJcQkzTF6HNm_IMgcg,Rusty's Pizza Parlor,270 Storke Rd,Goleta,FL,93117,93117,34.4290427,-119.8693616,2.5,94
3uvFklejzRPwEPEZQ5vHYQ,Wawa,100 E Old Baltimore Pike,Media,CA,19063,19063,39.916175541,-75.3876546369,3.5,14
kLSEk3qXY1KdtFjxHJ9pww,McDonald's,501 Franklin Mill Cir,Philadelphia,FL,19154,19154,40.0884161,-74.9650112,1.5,20
8JEOmVGQffkr6xtn4vvplQ,Pita Kebob,3028 E College Ave,Ruskin,FL,33570,33570,27.713401,-82.394372,4.0,142
jsQQu9rVerR3OGxIa0hRQQ,Kelly's Taproom,1107 Lancaster Ave,Bryn Mawr,CA,19010,19010,40.024588,-75.3242387,3.0,63
Hp3Ony7yW60VPuWHQFIIHA,Frady's One Stop Food Store,3231 Dauphine St,New Orleans,FL,70117,70117,29.963974,-90.0426042,4.5,73
1o_M5JdOkJJFNj1rIDIlng,The Juice Pod,11 W Woodland Ave,Springfield,FL,19064,19064,39.9249328,-75.3402158,4.0,19
aSJdDcspNCf-2oNF2E6SJQ,White Castle,5231 Jennings Station Rd,Jennings,FL,63136,63136,38.7061191433,-90.2701565031,2.0,6
hDiCHlTXKGUj1Yh4tq223w,Pasquales,3469 Kentucky Ave,Indianapolis,FL,46221,46221,39.7132613,-86.2360801,3.0,26
sophKEDc2rBDe-cuOaJDkA,365 Caffe Italiano,"28210 Paseo Dr, Ste 100, Shops At Wiregrass",Wesley Chapel,FL,33543,33543,28.187946572,-82.3500558385,4.5,127
feVi5a5xZaahs4WsUfi1tw,CVS Pharmacy,3771 Tampa Rd,Oldsmar,CA,34677,34677,28.0439,-82.6769,3.5,17
PdMXmOWDRHICAx6SLgu1dQ,24,2401 Walnut St,Philadelphia,FL,19103,19103,39.9515211,-75.1798731,3.5,111
KsDY9IYqvumohkp74w5i6A,Jersey Mike's Subs,910 Haddonfield-Berlin Rd,Voorhees,FL,08043,08043,39.848349,-74.97713,4.0,21
dD2p903p8lU0IgXT3OFluA,Edgehill Cafe,1201 Villa Pl,Nashville,FL,37212,37212,36.1429685,-86.7923549,3.5,245
mYbEGFsRcA0tfUNSYcBJMA,Golden River Restaurant,"8 E Scott St, Ste 10",Riverside,FL,08075,08075,40.0377027,-74.9592809,5.0,8
Mt1FB8hM4XTi3Tk4i0q5gQ,Nicola's Pizza,8 N Franklin St,Lambertville,FL,08530,08530,40.3664177,-74.9416785,4.0,54
2DsplH_vy4GCcEnVpn0AbA,Cafe Olivia,222 E Market St,Indianapolis,FL,46204,46204,39.768973,-86.153309,4.5,34
sWCCxY1-9B1FGlSVeQvnHg,CD Roma Restaurant,1462 66th St N,St Petersburg,FL,33710,33710,27.7854888011,-82.7302946082,4.0,125
2qhuQ-tnonyLEQLw2cbvAg,Tim Hortons,12852 167 Avenue NW,Edmonton,FL,T6V 1J6,T6V 1J6,53.6301604595,-113.5449765623,3.0,9
z7sp6u5JnNlq2ziu31EFvw,CVS Optical,1405 South 10th St,Philadelphia,FL,19147,19147,39.9315261618,-75.1607671842,2.5,35
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,4914 Baltimore Ave,Philadelphia,CA,19143,19143,39.94796,-75.22198,4.0,301
gI34hM-873fwF1XQ8hOaSg,Joe’s Pizza and Pasta,"5775 Godfrey Rd, Ste A",Godfrey,FL,62035,62035,38.9491828,-90.1903059,4.0,17
fI8kWao4ejLDDGgWNxKiHw,Edible Arrangements,2416 Elliston Pl,Nashville,FL,37203,37203,36.1482816,-86.8081665,2.5,12
RuBWR6CAgVi7iWR8LHUi6A,Lee House,10704 97 Street NW,Edmonton,FL,T5H 2L9,T5H 2L9,53.551925,-113.4896661,4.0,30
5EGhvgDt_E-JPl4EhQkOtg,Edgehill Cafe,"6900 Lenox Village Blvd, Ste 15",Nashville,FL,37211,37211,36.024589,-86.71193,4.0,7
wMyHVb54Ne9SNasa4kjOCg,Carnivore,5257 Shaw Ave,St. Louis,CA,63110,63110,38.6184117,-90.2741825,4.5,281
7Ct4QuWaY63DkAOXqEiVGA,Hong Kong Chinese Restaurant,326 N Chester Pike,Glenolden,CA,19036,19036,39.9033171,-75.2844083,3.0,18
Wc-c_hQK4vFCl9keeVTUZw,Felix's Restaurant & Oyster Bar,7400 Lakeshore Dr,New Orleans,CA,70124,70124,30.023792,-90.1136223,3.5,255
YhQAQhG1IkXJH7oLZMbM9w,Del Taco,252 Los Altos Pkwy,Sparks,FL,89431,89431,39.5836527,-119.740935,1.5,60
LVteL0Rnh2E_yOFCLJUPhg,Double Decker Pizza - Media,415 E Baltimore Ave,Media,FL,19063,19063,39.916169,-75.382347,4.0,88
skN2XhKXlcjf53uIwzAedw,Burger Up - Franklin,401 Cool Springs Blvd,Franklin,FL,37067,37067,35.9459704793,-86.8279486659,3.5,329
du_yelFmWOZDEyIAE-jdsQ,Taco Del Mar,"1515-Poydras St, Ste 160",New Orleans,CA,70112,70112,29.9522480802,-90.0782639989,2.0,9
jBCgQ6nZDsMCWU7eaSxOpw,Whaley's Blazin BBQ,18213 N US Highway 41,Lutz,CA,33549,33549,28.137927,-82.4626332,4.5,58
25ZRypSbZUHrPe6PFYQ2sw,Quiznos,8665 W Franklin Rd,Boise,CA,83709,83709,43.6048735,-116.2900126,3.5,5
wUEbysNWCtMSQAio6Ktn6Q,Lucianis Pizzeria & GRILL,471 Pinetown Rd,Fort Washington,FL,19034,19034,40.138836,-75.1952339,3.0,22
vuL3QCjFZ7lU5LMdUAmZ9Q,Subway,383 W Lancaster Ave,Wayne,FL,19087,19087,40.0442635,-75.3993543,1.5,5
rBE5TT_ndOOczNBrbRnJwA,Dio Modern Mediteranean,519 N Franklin St,Tampa,FL,33602,33602,27.9491200666,-82.458398826,4.0,325
SSZDGl2J-CEyIzuIbEiYNQ,Caleco's Bar & Grill,101 N Broadway,Saint Louis,FL,63102,63102,38.62644,-90.1897829,3.0,532
qWZimITbVwNSGJZsuM47-Q,Pho Orchid Uptown,2135 St Charles Ave,New Orleans,FL,70130,70130,29.9345207214,-90.0806121826,3.5,81
koeubKPpi6ax4FDh7_zcWg,Palo De Azucar Cafe,862 S Broad St,Trenton,FL,08611,08611,40.2071578,-74.7499323386,5.0,5
3xqHC4ccVvdcFdn04v7GWA,Cake Boutique,"5420 E Broadway Blvd, Ste 240",Tucson,CA,85711,85711,32.2215168,-110.8768364,1.5,6
4TQMOy00KD_54xSFwKgMZw,Ndulge,4373 Main St,Philadelphia,FL,19127,19127,40.025842293,-75.2243893677,3.5,15
Ea2hPSFazxXITET4f6ZJhw,Beef 'O' Brady's,18421 N US Hwy 41,Lutz,FL,33549,33549,28.140648,-82.461204,3.0,46
C3roKH0ekXBz8l0ZoUIvAA,Roadrunner Coffee Co.,1545 W Wetmore Rd,Tucson,FL,85705,85705,32.2865595,-110.9982234,4.0,9
QehLpDI-ZdJJLu5dobDdxg,Mundare Sausage House,4824 118 Avenue NW,Edmonton,FL,T5W 1B4,T5W 1B4,53.570634,-113.416455,4.0,7
MuKoTR56s6elHEI2wUkgJA,Grace Meat + Three,4270 Manchester,St. Louis,FL,63110,63110,38.6267906,-90.2567049,4.5,470
I4TFiNX5gTsJBnEGH2Tl8Q,Benna's West,1444 S Broad St,Philadelphia,FL,19146,19146,39.931855,-75.168473,3.5,47
wgcSbX3osqRibWW7pVyfww,Jack in the Box,1202 W St Marys Rd,Tucson,FL,85745,85745,32.2298503,-110.9900599,2.0,13
FzelkV3vzxkRgBmVSIqALA,Edley’s,2392 S State Rt 157,Glen Carbon,FL,62034,62034,38.7733254332,-89.9929298076,3.0,34
jV5xo3OidGMJeygZ8neKNQ,ALDI,812 N Delsea Dr,Glassboro,FL,08028,08028,39.7208707952,-75.1122757,4.5,5
_v8Ccd70N6uXw8muQeyhOA,Moxie's Grill & Bar,13551 St Albert Trail,Edmonton,FL,T5L 5E7,T5L 5E7,53.5978212,-113.5706935,3.5,52
i8UZblHPk2O-iNKJrnWQ_Q,Taco Bell,8578 East Broadway Blvd,Tucson,FL,85710,85710,32.220539,-110.809269,2.5,26
5QCLmv-JrdY0ZGc_D5__iw,Wheel Cafe,1140 Main St,Dunedin,FL,34698,34698,28.019385,-82.7742533,4.5,68
ziFtaIQdzQfFL79iLTq_zQ,Zac's Hamburgers,1301 E Macdade Blvd,Folsom,FL,19033,19033,39.89378,-75.3197179,4.0,48
fT4jl8pcXCxKBrM85XjXSg,Vino Simpatico,722 Pasadena Ave S,Saint Petersburg,CA,33707,33707,27.7631223281,-82.7343105153,4.5,21
KeigREOxJtmzmYRg__6FPg,Curry Corner,1200 S Carrollton Ave,New Orleans,FL,70118,70118,29.9475543,-90.1297535,2.5,8
7L2E_JyL7L2vgVAxArcUYg,Penn Station East Coast Subs,68 Fenton Plz,Fenton,FL,63026,63026,38.5113828241,-90.4436020476,4.0,12
QkyEr9j7il9lJqseTbPe5w,Spasso Italian Grill,1 W State St,Media,FL,19063,19063,39.9182380676,-75.3896167572,3.5,192
igz0LFaSoRef-t30luOx2Q,Publix Supermarket at Southgate Shopping Center,5127 US 19,New Port Richey,FL,34652,34652,28.23398,-82.73072,3.0,16
8SqvtaRu9likNDAfAU-HBQ,Panda Express,455 Opry Mills Dr,Nashville,FL,37214,37214,36.2027284902,-86.6944885254,3.0,15
CE9wc-UtRIwiyo5i4QO1Og,CACi Wood-Fired Sicilian Grill,1592 E Riverside Dr,Eagle,FL,83616,83616,43.687375,-116.334128,4.0,156
7CBsFEzEny_Ro833RS6Acg,Farmer's Market Deli & Grill,900 Rosa L Parks Blvd,Nashville,FL,37243,37243,36.169445,-86.78794,3.5,9
pxuMxh5oC7W-PDN9wwvozg,Starbucks,219 N Center St,Reno,FL,89501,89501,39.527772,-119.812518,3.0,44
3WfH4I8OmHMjTIFhPgh4Tw,Sweeties By Mili,11961 Sheldon Rd,Tampa,FL,33626,33626,28.0575829,-82.5821986,3.5,16
SdZvOwgALlSBt8A0DvVkuQ,Reno Tap Room,6139 S Virginia St,Reno,FL,89502,89502,39.469099,-119.786907,4.0,45
jwtz8TmuD6VyfiB7fxOU2w,Eats,14803 Lebanon Rd,Mount Juliet,CA,37138,37138,36.2198738,-86.5726223,3.5,8
_1jlbXWMxN50PQlaRpev7A,Reytas Filipino Cuisine,1490 Haddonfield Berlin Rd,Cherry Hill,FL,08003,08003,39.8801882243,-75.0052480303,4.5,79
UFpCraqzFBAhtZqmxmiWsA,Cat Therapy,"1213 State St, Ste L",Santa Barbara,FL,93101,93101,34.4233018995,-119.7054707479,4.5,116
xb-qtXVZ7xFr51Se5fAZjg,Saige Café,"1001 N 2nd St, Ste 9",Philadelphia,CA,19123,19123,39.9667910353,-75.1400172338,3.0,14
uxoQdZD3mEptaPohiLQg1w,Stone House Grille,1300 Hares Hill Rd,Kimberton,FL,19442,19442,40.1298141,-75.5764069,4.5,56
_49FsmTfruZSTjxU4OwOsg,Taziki's Mediterranean Cafe - West End,3001 W End Ave,Nashville,FL,37212,37212,36.1436547,-86.8135218,3.5,120
AuTmUY381to83xPwovoERg,Wingstop,127 Gallatin Pike N,Madison,FL,37115,37115,36.2649788207,-86.712538285,2.5,31
-JStjL-8mRZq4ov4uI1FaQ,Luberto's Brickoven Pizza,169 N Main St,Dublin,FL,18917,18917,40.3753297,-75.208113,4.0,96
v8IbZ6wcvdyGqWpbDKDvfA,YO! Sushi,"International Plz, 2223 N Westshore Blvd",Tampa,FL,33607,33607,27.964536,-82.520756,4.0,121
NKplFLr1UebQxMLQAxALPQ,Tandoor & Tikka,5320 E 82nd St,Indianapolis,FL,46250,46250,39.905788,-86.077582,3.5,78
Z5LGSHEYjCUtKwjKotCNqA,Chinese Delight,735 W Lancaster Ave,Wayne,FL,19087,19087,40.0477909,-75.409318,3.0,52
btycQr2eJqbNbArJdUxMmQ,New Golden Buffet,"700 Nutt Rd, Ste 701",Phoenixville,FL,19460,19460,40.133113,-75.5342207,2.5,30
USyJiGIvZ8fHjRVaVTu1Zw,Tony Jr's,118 S 18th St,Philadelphia,FL,19103,19103,39.951157,-75.170714,3.0,71
J7Oo9rhwX7O3ak54pu_Mhg,Captain D's,2633 Lebanon Pike,Nashville,FL,37214,37214,36.16937,-86.67255,3.5,14
LC-qVqvkMRmK_ed-SImCXQ,Salvatore's Trattoria & Pizzeria,221 N Henderson Rd,King of Prussia,FL,19406,19406,40.0972098875,-75.3668700904,3.5,38
w8C_pRQvdIXQ5VRWlW2M3w,The Human Bean,3380 Kietzke Ln,Reno,FL,89502,89502,39.4921888,-119.7886223687,4.5,37
ifofBiQeb6DI0-u0KEQybg,HAPPYJAXX,801 Magazine St,New Orleans,FL,70130,70130,29.945239,-90.069555,4.0,24
902y4z16-TKyS9UcThCGYA,MRCKA's Dojo Pizza,4601 Morganford Rd,Saint Louis,CA,63116,63116,38.584834,-90.266358,4.0,10
iq0qAJ2Oc3myUTTMLseTXA,Lorenzo & Sons Pizza,27 North High St,West Chester,FL,19380,19380,39.9604595,-75.6049474,3.5,71
aJpDjaMVhWZRLdwZtqQjEg,T.H.I.S. Place,10382 105 Street,Edmonton,FL,T5J 1E6,T5J 1E6,53.5460723,-113.5012494,4.5,24
zxpJ4Frr8Zoru-YaNzOxzw,China Spring,8165 Hwy 100,Nashville,FL,37221,37221,36.0441354,-86.9579331,3.5,33
gv9IWG3dejsacl6xPG-yyg,Little Caesars,4091 Mallory Ln,Franklin,FL,37067,37067,35.9331871,-86.8246085,2.0,14
HJe8eEH5qXRjQMAh1VfV_w,Kobe Japanese Steakhouse,2773 66th St N,St. Petersburg,FL,33710,33710,27.7969526,-82.7278308,4.5,91
_uQEKHH0R5fxrYkLrUI9pQ,Gu Wei Noodles & Grill,"18101 Highwoods Preserve Pkwy, Ste 100",Tampa,FL,33647,33647,28.1316091,-82.3691327,4.5,40
lhsQkb5nhf-Kd5OvgB9MNg,Sachiko Sushi,3210 E Valencia Rd,Tucson,FL,85706,85706,32.1336786,-110.9234427,3.5,191
G0jHNZzhiHWCYZmZWCg-6w,Downtown Diner,1400 Niedringhaus Ave,Granite City,FL,62040,62040,38.7013636,-90.1472908,4.0,8
ilVGsC87BfopszGWw2qdXg,Spice Kitchen,2717 Ridge Pike,Trooper,FL,19403,19403,40.1462266587,-75.3931311565,3.0,49
plobBsTtVUODb353xxFT_g,Sushi Rose,"2005 Sierra Highlands Dr, Ste 147A",Reno,FL,89523,89523,39.5347847599,-119.8694408537,3.5,634
368cyArdo0P0aDUOhhE4PA,PANA Donuts Coffee & Boba Tea,5370 E Thompson Rd,Indianapolis,CA,46237,46237,39.6933973,-86.0761149,4.5,163
gi90NMmRhzl8vzM83UNOVA,Subway,19410 N Bruce B Downs Blvd,Tampa,FL,33647,33647,28.15011,-82.3539970377,3.0,14
Bw0cpnfI-Y9QmjWzqS-oFg,Izumi,1601 E Passyunk Ave,Philadelphia,FL,19148,19148,39.929738,-75.1633963,4.0,219
1w1H1kYUN60zpfdP-0qmGQ,Machismo Burrito Bar,8500 Henry Ave,Philadelphia,CA,19128,19128,40.0626011,-75.2372078,3.0,30
I1h0GRYp86eX-XqwVXsSGA,Zeko's Mediterranean Grill,3609 E Busch Blvd,Tampa,FL,33612,33612,28.0322261,-82.4189253,4.5,345
ruFtZKwlJASx5BTk1dh5AQ,Wendy's,440 N Mccarran Blvd,Sparks,CA,89431,89431,39.5380547,-119.734624,2.5,35
kJpoduG3wdA35WzOF_T1Aw,Mexico Lindo,6050 Park Blvd,Pinellas Park,FL,33781,33781,27.838651,-82.7173312,4.5,54
kgMEBZG6rjkGeFzPaIM4MQ,McDonald's,914 S Broad St,Philadelphia,CA,19146,19146,39.9394402,-75.1668049,2.0,55
w--nMtFJ_aqM2OlG7z0ENg,124 Grand Market,124 108 Avenue,Edmonton,FL,T6A 2T3,T6A 2T3,53.5525283813,-113.534828186,4.5,18
69y8BIrahfo6I_5AkIYf-g,Rally's,5235 E. Southport Rd.,Indianapolis,FL,46237,46237,39.6657537565,-86.0787451367,1.0,9
9L-MR0arflwFMF9szEBOOg,California Wine Festival,,Santa Barbara,FL,93101,93101,34.4144660474,-119.6851896343,4.5,7
JRoY9Mx2LghIki2Uo1SOJA,The Wine Tap,223 E Main St,Belleville,CA,62220,62220,38.5137923,-89.9805554,4.5,93
m6KZGTxRb9_ZyDpB1G6O1Q,Freddy's Frozen Custard & Steakburgers,3725 W Orange Grove Rd,Marana,FL,85741,85741,32.3232068,-111.0442513,3.5,112
nteD5A6CKXZPqbR9EltQng,Super China Chinese Restaurant,8663 Little Rd,Port Richey,FL,34654,34654,28.283355,-82.677826,4.0,54
usFEKg4-2C48qPIh32HbHA,Fine Wine & Good Spirits - Premium Collection,"1112 Chestnut St, Ste 28",Philadelphia,CA,19107,19107,39.9500812,-75.1593054,2.0,7
ZyyExneJPXjci7yc2CGAPQ,Cups & Chairs,701-03 S 5th St,Philadelphia,FL,19147,19147,39.940311,-75.15099,4.5,80
aYMpjij5ShtEoZueMrQPRw,The Mill,406 E Haley St,Santa Barbara,FL,93101,93101,34.4211189,-119.690633,4.0,5
zwfN21b6gN2XGjNG6MYNzQ,Wolfgang Puck Express,2500 S High School Rd,Indianapolis,CA,46241,46241,39.7166926914,-86.2978263572,2.0,70
PaqDZUu76fZtMvcYqCEBig,Rincon Brewery,205 Santa Barbara St,Santa Barbara,FL,93101,93101,34.4161821,-119.6897762,4.0,32
BiBwdFcG0ynK50_g7zJTOg,Chopt Creative Salad Co.,"211 Franklin Rd, Ste 160",Brentwood,FL,37027,37027,36.032004,-86.79085,3.5,135
mtGTna-hyFhErb4Zma32IA,The Village Diner,299 Keswick Ave,Glenside,FL,19038,19038,40.106526,-75.147507,3.5,80
OMSEg2rW-yVtE0OspyEvkg,Cup of Corn,"49 W Maryland St, Circle Centre Mall",Indianapolis,FL,46225,46225,39.7658967805,-86.1593370796,5.0,6
k7oZJB7BSx37e-masOmiLQ,Hattie Jane's Creamery,5055 Broadway Place,Nashville,FL,37203,37203,36.1601939,-86.779742,4.5,7
MMRRS6YhVRx_iN5-JhMRYg,Han Dynasty,3711 Market St,Philadelphia,FL,19104,19104,39.9567105161,-75.1971027811,4.0,783
JVekj-AqcU46mg7rzN_nOg,Oceanos Restaurant,222 Haddon Ave,West Berlin,FL,08091,08091,39.8130665,-74.9442129,3.5,32
g_nLH7QGP3_l1eE-7JWhwA,Smees Alaskan Fish Bar & Marketplace,5635 Meadowood Mall Cir,Reno,FL,89502,89502,39.4742257,-119.7795102,4.5,97
BIt2HXhYksM4nReEz-a9tA,Big Bad Wolf Food Truck,2760 W Curtis Rd,Tucson,FL,85705,85705,32.2215499878,-110.9697570801,5.0,12
Llu8_Lx2DFthmr99_eiOLA,Wei Hong Bakery & Restaurant,3175 S Grand Blvd,Saint Louis,FL,63118,63118,38.6002991,-90.2429828,4.0,135
3n_G-_DwOJ2VS4uGxBN6sg,Lan Zhou Lamen,2716 E Fowler Ave,Tampa,CA,33612,33612,28.0554349,-82.4292524,4.0,78
A0F-h3xJm_6gHDKcDQwSrQ,Capogiro Gelato,3925 Walnut St,Philadelphia,FL,19104,19104,39.9541715545,-75.2013800841,4.0,252
AODksDNj5mH953cyhUG1Qw,Thai 5 Fast Food,3424 S Dale Mabry Hwy,Tampa,CA,33629,33629,27.9120596,-82.5057677,4.0,336
3y61A28PQDZ4weeeTRfIlA,Burger Study,28 W Georgia St,Indianapolis,FL,46225,46225,39.7643833,-86.1588649,4.0,441
